Runtime dead semantic audit summary
===================================
FILES_SCANNED: 2865
GVL_FIELDS_SCANNED: 6018
DUT_FIELDS_SCANNED: 6144
DUT_TYPES_SCANNED: 962
UNUSED_GVL_FIELDS: 8
UNUSED_DUT_FIELDS: 1753
ORPHAN_DUT_TYPES: 2
SEMANTIC_ZOMBIE_PATTERNS: 889
TOTAL_FINDINGS: 2652
TRUNCATED: False

[UNUSED_GVL_FIELD] G_Device_Health_Zones @ snapshots/project_clean_state_2026_04_16/GVL_DEBUG.gvl:3 - GVL field appears declared but not referenced.
[UNUSED_GVL_FIELD] G_Device_Health_Manifolds @ snapshots/project_clean_state_2026_04_16/GVL_DEBUG.gvl:4 - GVL field appears declared but not referenced.
[UNUSED_GVL_FIELD] G_Device_Health_Boilers @ snapshots/project_clean_state_2026_04_16/GVL_DEBUG.gvl:5 - GVL field appears declared but not referenced.
[UNUSED_GVL_FIELD] G_Device_Health_Vents @ snapshots/project_clean_state_2026_04_16/GVL_DEBUG.gvl:6 - GVL field appears declared but not referenced.
[UNUSED_GVL_FIELD] G_System_Health_Summary @ snapshots/project_clean_state_2026_04_16/GVL_DEBUG.gvl:7 - GVL field appears declared but not referenced.
[UNUSED_GVL_FIELD] G_Pump_Health @ snapshots/project_clean_state_2026_04_16/GVL_DEBUG.gvl:8 - GVL field appears declared but not referenced.
[UNUSED_GVL_FIELD] G_Gas_Valve_Health @ snapshots/project_clean_state_2026_04_16/GVL_DEBUG.gvl:9 - GVL field appears declared but not referenced.
[UNUSED_GVL_FIELD] G_Heating_DHW_Block @ snapshots/2026-05-04/GVL_COMMAND_SHADOW.gvl:17 - GVL field appears declared but not referenced.
[UNUSED_DUT_FIELD] scenario_id @ ST_Scenario_Config.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] lighting_level_accent @ ST_Scenario_Config.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] ventilation_speed_percent @ ST_Scenario_Config.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] sockets_enabled @ ST_Scenario_Config.dut:9 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] enable_ventilation @ ST_Ventilation_Global_Config.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] total_units @ ST_Ventilation_Global_Config.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] default_exhaust_speed @ ST_Ventilation_Global_Config.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Meta_Analytics_Visible @ ST_Heating_Runtime_Meta_Supervision.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Meta_Analytics_Degraded @ ST_Heating_Runtime_Meta_Supervision.dut:9 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Meta_Analytics_Attention @ ST_Heating_Runtime_Meta_Supervision.dut:10 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Supervision_Integrity_Visible @ ST_Heating_Runtime_Meta_Supervision.dut:15 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Supervision_Integrity_Observation @ ST_Heating_Runtime_Meta_Supervision.dut:16 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Adaptive_Drift_Visible @ ST_Heating_Runtime_Meta_Supervision.dut:21 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Adaptive_Drift_Observation @ ST_Heating_Runtime_Meta_Supervision.dut:22 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Confidence_Degradation_Visible @ ST_Heating_Runtime_Meta_Supervision.dut:27 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Confidence_Degradation_Observation @ ST_Heating_Runtime_Meta_Supervision.dut:28 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Analytics_Consistency_Visible @ ST_Heating_Runtime_Meta_Supervision.dut:33 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Analytics_Consistency_Observation @ ST_Heating_Runtime_Meta_Supervision.dut:34 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Sequencing_Meta_Observation @ ST_Heating_Runtime_Meta_Supervision.dut:39 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Ownership_Meta_Observation @ ST_Heating_Runtime_Meta_Supervision.dut:40 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Synchronization_Meta_Observation @ ST_Heating_Runtime_Meta_Supervision.dut:41 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Base_Register @ ST_OpenTherm_Register_Map.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Cmd_Seq_Lo_Offset @ ST_OpenTherm_Register_Map.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Cmd_Seq_Hi_Offset @ ST_OpenTherm_Register_Map.dut:9 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Status_Heartbeat_Lo_Offset @ ST_OpenTherm_Register_Map.dut:11 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Status_Heartbeat_Hi_Offset @ ST_OpenTherm_Register_Map.dut:12 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Status_Ack_Seq_Lo_Offset @ ST_OpenTherm_Register_Map.dut:13 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Status_Ack_Seq_Hi_Offset @ ST_OpenTherm_Register_Map.dut:14 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Error_Code_Offset @ ST_OpenTherm_Register_Map.dut:16 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Modulation_x10_Offset @ ST_OpenTherm_Register_Map.dut:17 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Boiler_Temp_x10_Offset @ ST_OpenTherm_Register_Map.dut:18 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] sensor_type @ ST_Sensor_Calibration_Record.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] last_calibration_timestamp @ ST_Sensor_Calibration_Record.dut:9 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] verification_passed @ ST_Sensor_Calibration_Record.dut:10 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] scenario_id @ ST_State_Snapshot.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] lighting_levels @ ST_State_Snapshot.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] floor_heating_setpoints @ ST_State_Snapshot.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] alarm_active @ ST_State_Snapshot.dut:9 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] sunrise_ms @ ST_Astro_Time.dut:4 - DUT field appears unused as a member access.
