Runtime dead semantic audit summary
===================================
FILES_SCANNED: 401
GVL_FIELDS_SCANNED: 813
DUT_FIELDS_SCANNED: 883
DUT_TYPES_SCANNED: 122
UNUSED_GVL_FIELDS: 17
UNUSED_DUT_FIELDS: 182
ORPHAN_DUT_TYPES: 31
SEMANTIC_ZOMBIE_PATTERNS: 44
TOTAL_FINDINGS: 274
TRUNCATED: False

[UNUSED_GVL_FIELD] G_Runtime_Integration_Bridge @ GVL_Heating_Runtime_Explainability.gvl:10 - GVL field appears declared but not referenced.
[UNUSED_GVL_FIELD] G_Runtime_Predictive_State @ GVL_Heating_Runtime_Explainability.gvl:11 - GVL field appears declared but not referenced.
[UNUSED_GVL_FIELD] G_Runtime_Execution_Timeline @ GVL_Heating_Runtime_Explainability.gvl:12 - GVL field appears declared but not referenced.
[UNUSED_GVL_FIELD] G_Runtime_Phase_Transition @ GVL_Heating_Runtime_Explainability.gvl:13 - GVL field appears declared but not referenced.
[UNUSED_GVL_FIELD] G_Water_Zone_Enable @ GVL_STATE.gvl:153 - GVL field appears declared but not referenced.
[UNUSED_GVL_FIELD] G_Water_Zone_Exercise_Active @ GVL_STATE.gvl:156 - GVL field appears declared but not referenced.
[UNUSED_GVL_FIELD] G_Inject_Heating_Sensor_Fault @ GVL_SIMULATION.gvl:34 - GVL field appears declared but not referenced.
[UNUSED_GVL_FIELD] G_Inject_IO_Fault @ GVL_SIMULATION.gvl:35 - GVL field appears declared but not referenced.
[UNUSED_GVL_FIELD] G_Inject_Low_Pressure @ GVL_SIMULATION.gvl:36 - GVL field appears declared but not referenced.
[UNUSED_GVL_FIELD] G_Inject_Predictive_Pump_Fault @ GVL_SIMULATION.gvl:37 - GVL field appears declared but not referenced.
[UNUSED_GVL_FIELD] G_Inject_Gas_Alarm @ GVL_SIMULATION.gvl:40 - GVL field appears declared but not referenced.
[UNUSED_GVL_FIELD] G_Inject_Leak_Alarm @ GVL_SIMULATION.gvl:41 - GVL field appears declared but not referenced.
[UNUSED_GVL_FIELD] G_Inject_Smoke_Alarm @ GVL_SIMULATION.gvl:42 - GVL field appears declared but not referenced.
[UNUSED_GVL_FIELD] G_Inject_Dual_PLC_Active @ GVL_SIMULATION.gvl:45 - GVL field appears declared but not referenced.
[UNUSED_GVL_FIELD] G_Recovery_Exit_Allowed @ GVL_SAFETY_RECOVERY.gvl:20 - GVL field appears declared but not referenced.
[UNUSED_GVL_FIELD] G_Scenario_Request @ GVL_COMMAND.gvl:33 - GVL field appears declared but not referenced.
[UNUSED_GVL_FIELD] G_Stable_Time_Required_MS @ GVL_SAFETY_RECOVERY_CONFIG.gvl:4 - GVL field appears declared but not referenced.
[UNUSED_DUT_FIELD] scenario_id @ ST_Scenario_Config.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] lighting_level_accent @ ST_Scenario_Config.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] floor_heating_adjust_celsius @ ST_Scenario_Config.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] ventilation_speed_percent @ ST_Scenario_Config.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] sockets_enabled @ ST_Scenario_Config.dut:9 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] enable_ventilation @ ST_Ventilation_Global_Config.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] total_units @ ST_Ventilation_Global_Config.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] default_supply_speed @ ST_Ventilation_Global_Config.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] default_exhaust_speed @ ST_Ventilation_Global_Config.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] pv3_exhaust_index @ ST_Ventilation_Global_Config.dut:11 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Base_Register @ ST_OpenTherm_Register_Map.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Cmd_Seq_Lo_Offset @ ST_OpenTherm_Register_Map.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Cmd_Seq_Hi_Offset @ ST_OpenTherm_Register_Map.dut:9 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Status_Heartbeat_Lo_Offset @ ST_OpenTherm_Register_Map.dut:11 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Status_Heartbeat_Hi_Offset @ ST_OpenTherm_Register_Map.dut:12 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Status_Ack_Seq_Lo_Offset @ ST_OpenTherm_Register_Map.dut:13 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Status_Ack_Seq_Hi_Offset @ ST_OpenTherm_Register_Map.dut:14 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Error_Code_Offset @ ST_OpenTherm_Register_Map.dut:16 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Modulation_x10_Offset @ ST_OpenTherm_Register_Map.dut:17 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Boiler_Temp_x10_Offset @ ST_OpenTherm_Register_Map.dut:18 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] sensor_type @ ST_Sensor_Calibration_Record.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] last_calibration_timestamp @ ST_Sensor_Calibration_Record.dut:9 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] verification_passed @ ST_Sensor_Calibration_Record.dut:10 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] scenario_id @ ST_State_Snapshot.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] lighting_levels @ ST_State_Snapshot.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] floor_heating_setpoints @ ST_State_Snapshot.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] alarm_active @ ST_State_Snapshot.dut:9 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] sunrise_ms @ ST_Astro_Time.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] sunset_ms @ ST_Astro_Time.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] is_daylight @ ST_Astro_Time.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] uiCycleTime @ ST_Owen_Analog_Value.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] valve_id @ ST_Valve_Test_Config.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] valve_id @ ST_Gas_Valve_Configuration.dut:4 - DUT field appears unused as a member access.
